Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Organization Units,Applications
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investor Profile,Intended investor base characteristics.,Suitable Investor Category,"Retail, HNI, Institutional, Pension, Sovereign, etc.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investor Profile,Intended investor base characteristics.,Distribution Policy,Accumulation vs. distribution of income/gains.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Disclosure Parameters,Publicly communicated objective-related parameters.,Prospectus Objective Text,Authorized wording for investor disclosures.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund?s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Risk Appetite Statement,Board-approved articulation of acceptable risk levels.,Risk Tier,Conservative / Moderate / Aggressive (mapped to governance taxonomy).,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",MSCI RiskMetrics
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund?s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Risk Appetite Statement,Board-approved articulation of acceptable risk levels.,Risk Capacity vs. Risk Appetite,Distinction between maximum absorptive capacity and chosen appetite.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",MSCI RiskMetrics
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund?s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Volatility Target,Target ex-ante or ex-post volatility range for the portfolio.,Target Volatility (s),"Annualized standard deviation target (e.g., 6?8%).","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",MSCI RiskMetrics
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund?s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Volatility Target,Target ex-ante or ex-post volatility range for the portfolio.,Volatility Measurement Window,"Rolling window used (e.g., 36 months).","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",MSCI RiskMetrics
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund?s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Drawdown Limits,Maximum peak-to-trough decline tolerance.,Max Drawdown Threshold,"Limit for cumulative drawdown (e.g., -15%).","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",MSCI RiskMetrics
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund?s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Concentration Limits,Position and sector exposure constraints.,Single Name Limit,Max weight per issuer/security.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",MSCI RiskMetrics
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund?s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Concentration Limits,Position and sector exposure constraints.,Sector/Theme Limit,Max aggregate weight per sector/theme.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",MSCI RiskMetrics
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Strategic Horizon,Planned evaluation period for investment outcomes.,Horizon Length,"Short (=1Y), Medium (1?3Y), Long (=3Y).","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","Aladdin by BlackRock, FactSet"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Strategic Horizon,Planned evaluation period for investment outcomes.,Review Cadence,Frequency of formal performance/risk reviews.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","Aladdin by BlackRock, FactSet"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Liquidity Profile,Alignment of horizon with liquidity needs.,Redemption Frequency,Daily/Weekly/Monthly/Quarterly redemption terms.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","Aladdin by BlackRock, FactSet"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Liquidity Profile,Alignment of horizon with liquidity needs.,Notice Period,Required investor notice before redemption.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","Aladdin by BlackRock, FactSet"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Turnover Guidance,Expected trading activity compatible with horizon.,Target Turnover Ratio,Annual % of portfolio rotated.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","Aladdin by BlackRock, FactSet"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Asset Class Catalogue,List of allowed asset classes.,Asset Class Name,"Equity, Fixed Income, Cash, Real Estate, Commodities, FX, Alternatives, etc.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Bloomberg Terminal
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Asset Class Catalogue,List of allowed asset classes.,Asset Class Status,Eligible / Restricted / Prohibited.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Bloomberg Terminal
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Allocation Bands,Strategic min?max ranges per asset class.,Min Allocation (%),Lower bound per asset class.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Bloomberg Terminal
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Allocation Bands,Strategic min?max ranges per asset class.,Max Allocation (%),Upper bound per asset class.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Bloomberg Terminal
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Derivatives Usage,Policy for derivatives within asset classes.,Permitted Instruments,"Futures, Options, Swaps, Forwards, CDS, etc.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Bloomberg Terminal
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Derivatives Usage,Policy for derivatives within asset classes.,Purpose,"Hedging, Efficient Portfolio Management (EPM), Tactical Exposure.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Bloomberg Terminal
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Security Universe,Master list of approved securities.,Security Identifier,"ISIN, CUSIP, SEDOL, Ticker.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","FactSet, Bloomberg Terminal"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Security Universe,Master list of approved securities.,Security Status,Eligible / Watchlist / Excluded.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","FactSet, Bloomberg Terminal"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Inclusion Criteria,Rules for eligibility.,Market Cap Floor,Minimum float-adjusted market cap for equities.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","FactSet, Bloomberg Terminal"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Inclusion Criteria,Rules for eligibility.,Credit Rating Floor,"Minimum rating (e.g., BBB- by S&P/Fitch) for debt.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","FactSet, Bloomberg Terminal"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Inclusion Criteria,Rules for eligibility.,Liquidity Threshold,Min ADV or bid-ask constraints.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","FactSet, Bloomberg Terminal"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Exclusion Screens,Negative screens applied.,Controversial Activities,"Weapons, Tobacco, Thermal Coal, etc.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","FactSet, Bloomberg Terminal"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Exclusion Screens,Negative screens applied.,Sanctions/Domicile Exclusion,Jurisdiction or sanctions list exclusion.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors","FactSet, Bloomberg Terminal"
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund?s investible universe and risk profile.,Benchmark Candidate Set,Shortlist of indices under consideration.,Index Name,"MSCI World, S&P 500, Bloomberg Agg, etc.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",FTSE Russell Index Suite
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund?s investible universe and risk profile.,Benchmark Candidate Set,Shortlist of indices under consideration.,Index Provider,"MSCI, S&P Dow Jones, FTSE Russell, Bloomberg.","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",FTSE Russell Index Suite
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund?s investible universe and risk profile.,Representativeness Metrics,Fit measures for suitability.,Coverage Match (%),Overlap with eligible universe by market cap/constituents.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",FTSE Russell Index Suite
