Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Drawdown Limits,Maximum peak-to-trough decline tolerance.,Max Drawdown Threshold,"Limit for cumulative drawdown (e.g., -15%)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Concentration Limits,Position and sector exposure constraints.,Single Name Limit,Max weight per issuer/security.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Concentration Limits,Position and sector exposure constraints.,Sector/Theme Limit,Max aggregate weight per sector/theme.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Strategic Horizon,Planned evaluation period for investment outcomes.,Horizon Length,"Short (=1Y), Medium (1–3Y), Long (=3Y)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Strategic Horizon,Planned evaluation period for investment outcomes.,Review Cadence,Frequency of formal performance/risk reviews.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Liquidity Profile,Alignment of horizon with liquidity needs.,Redemption Frequency,Daily/Weekly/Monthly/Quarterly redemption terms.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Liquidity Profile,Alignment of horizon with liquidity needs.,Notice Period,Required investor notice before redemption.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Turnover Guidance,Expected trading activity compatible with horizon.,Target Turnover Ratio,Annual % of portfolio rotated.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Asset Class Catalogue,List of allowed asset classes.,Asset Class Name,"Equity, Fixed Income, Cash, Real Estate, Commodities, FX, Alternatives, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Asset Class Catalogue,List of allowed asset classes.,Asset Class Status,Eligible / Restricted / Prohibited.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Allocation Bands,Strategic min–max ranges per asset class.,Min Allocation (%),Lower bound per asset class.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Allocation Bands,Strategic min–max ranges per asset class.,Max Allocation (%),Upper bound per asset class.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Derivatives Usage,Policy for derivatives within asset classes.,Permitted Instruments,"Futures, Options, Swaps, Forwards, CDS, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Derivatives Usage,Policy for derivatives within asset classes.,Purpose,"Hedging, Efficient Portfolio Management (EPM), Tactical Exposure."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Security Universe,Master list of approved securities.,Security Identifier,"ISIN, CUSIP, SEDOL, Ticker."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Security Universe,Master list of approved securities.,Security Status,Eligible / Watchlist / Excluded.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Inclusion Criteria,Rules for eligibility.,Market Cap Floor,Minimum float-adjusted market cap for equities.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Inclusion Criteria,Rules for eligibility.,Credit Rating Floor,"Minimum rating (e.g., BBB- by S&P/Fitch) for debt."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Inclusion Criteria,Rules for eligibility.,Liquidity Threshold,Min ADV or bid-ask constraints.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Exclusion Screens,Negative screens applied.,Controversial Activities,"Weapons, Tobacco, Thermal Coal, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Exclusion Screens,Negative screens applied.,Sanctions/Domicile Exclusion,Jurisdiction or sanctions list exclusion.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund’s investible universe and risk profile.,Benchmark Candidate Set,Shortlist of indices under consideration.,Index Name,"MSCI World, S&P 500, Bloomberg Agg, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund’s investible universe and risk profile.,Benchmark Candidate Set,Shortlist of indices under consideration.,Index Provider,"MSCI, S&P Dow Jones, FTSE Russell, Bloomberg."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund’s investible universe and risk profile.,Representativeness Metrics,Fit measures for suitability.,Coverage Match (%),Overlap with eligible universe by market cap/constituents.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund’s investible universe and risk profile.,Representativeness Metrics,Fit measures for suitability.,Risk Profile Alignment,"Volatility, sector weights, duration, credit quality match."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund’s investible universe and risk profile.,Cost/Operational Factors,Practical aspects of tracking.,Licensing Cost,Annual fee to use the index.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Index Selection,Identifies the most representative index for measuring performance relative to the fund’s investible universe and risk profile.,Cost/Operational Factors,Practical aspects of tracking.,Rebalance Frequency,Index maintenance cadence.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Validation & Review,"Periodic assessment of benchmark appropriateness versus mandate, market structure, and investible universe changes.",Benchmark Governance,Policies for ongoing validation.,Review Frequency,Quarterly / Semiannual / Annual.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Validation & Review,"Periodic assessment of benchmark appropriateness versus mandate, market structure, and investible universe changes.",Benchmark Governance,Policies for ongoing validation.,Validation Criteria,"Tracking error, turnover, sector drift, liquidity, representativeness."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Validation & Review,"Periodic assessment of benchmark appropriateness versus mandate, market structure, and investible universe changes.",Performance Fit,Empirical alignment with fund outcomes.,Realized Tracking Error,Ex-post deviation (bps) vs. benchmark.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Validation & Review,"Periodic assessment of benchmark appropriateness versus mandate, market structure, and investible universe changes.",Performance Fit,Empirical alignment with fund outcomes.,Correlation Coefficient,Portfolio vs. benchmark correlation.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Validation & Review,"Periodic assessment of benchmark appropriateness versus mandate, market structure, and investible universe changes.",Change Control,Protocol for benchmark changes.,Change Approval Authority,Investment Committee / Board.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Benchmark Validation & Review,"Periodic assessment of benchmark appropriateness versus mandate, market structure, and investible universe changes.",Change Control,Protocol for benchmark changes.,Effective Date,Date new benchmark becomes active.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Regulatory Framework,"Applicable laws, directives, and circulars.",Jurisdiction,"Country/Region (e.g., SEBI, ESMA/UCITS, SEC/’40 Act)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Regulatory Framework,"Applicable laws, directives, and circulars.",Regulation Reference,"Specific rule (e.g., 5/10/40 UCITS rule)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Exposure Limits,Statutory caps on holdings.,Single Issuer Limit,Max % exposure to one issuer.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Exposure Limits,Statutory caps on holdings.,Aggregate Category Limit,"Caps by asset category (e.g., equities, debt)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Liquidity & Redemption Rules,Requirements to protect investor interests.,Illiquid Asset Cap,Max % in illiquid assets.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Liquidity & Redemption Rules,Requirements to protect investor interests.,Redemption Gate/Side Pocket Rules,Conditions and thresholds for gating or side pockets.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Derivative & Leverage Rules,Regulatory constraints for leverage and derivatives.,Global Exposure Method,"Commitment, VaR, or relative VaR approach."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Regulatory Constraint Definition,"Codifies regulatory rules governing investment limits, disclosures, risk, liquidity, and derivatives usage across jurisdictions.",Derivative & Leverage Rules,Regulatory constraints for leverage and derivatives.,Leverage Cap,"Max leverage (e.g., gross or net exposure limits)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Product Constraint Definition,"Internal product-specific guardrails beyond regulation, reflecting brand, distribution, and operational capabilities.",Product Policy,House rules for product line.,Product Family,"Equity Income, Balanced, Index, Thematic, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Product Constraint Definition,"Internal product-specific guardrails beyond regulation, reflecting brand, distribution, and operational capabilities.",Product Policy,House rules for product line.,Fee Class Structure,"Share class fees (TER, mgmt fee, performance fee)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Product Constraint Definition,"Internal product-specific guardrails beyond regulation, reflecting brand, distribution, and operational capabilities.",Mandate-Specific Limits,Constraints tailored to fund/mandate.,Country Exposure Cap,Max % in specific geographies.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Product Constraint Definition,"Internal product-specific guardrails beyond regulation, reflecting brand, distribution, and operational capabilities.",Mandate-Specific Limits,Constraints tailored to fund/mandate.,Counterparty Limit,Limits per broker/OTC counterparty.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Product Constraint Definition,"Internal product-specific guardrails beyond regulation, reflecting brand, distribution, and operational capabilities.",ESG Integration Rules,Internal ESG thresholds and policies.,Minimum ESG Score,"Floor by provider (e.g., MSCI ESG = BBB)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Product Constraint Definition,"Internal product-specific guardrails beyond regulation, reflecting brand, distribution, and operational capabilities.",ESG Integration Rules,Internal ESG thresholds and policies.,Engagement/Escalation Policy,Stewardship and escalation procedures.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Strategy Documentation & Approval,"Formalizes the strategy, controls, and limits into governed documentation; secures approvals and version controls; ensures auditability and investor disclosure alignment.",Strategy Document,Master record of strategy details.,Document ID,Unique identifier/version.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Strategy Documentation & Approval,"Formalizes the strategy, controls, and limits into governed documentation; secures approvals and version controls; ensures auditability and investor disclosure alignment.",Strategy Document,Master record of strategy details.,Effective Date,Date strategy becomes operative.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Strategy Documentation & Approval,"Formalizes the strategy, controls, and limits into governed documentation; secures approvals and version controls; ensures auditability and investor disclosure alignment.",Approval Workflow,Bodies and steps required for sign-off.,Approval Authority,"CIO, Investment Committee, Board, Compliance."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Strategy Documentation & Approval,"Formalizes the strategy, controls, and limits into governed documentation; secures approvals and version controls; ensures auditability and investor disclosure alignment.",Approval Workflow,Bodies and steps required for sign-off.,Approval Date,Date of formal approval.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Strategy Documentation & Approval,"Formalizes the strategy, controls, and limits into governed documentation; secures approvals and version controls; ensures auditability and investor disclosure alignment.",Change Log,Versioning and amendments tracking.,Revision Number,Incremental version indicator.
